,Stock,Company Name,Sector,Shares Held or Principal Amt,ESG Risk,Market Value,% of Portfolio
4666,APT,Alpha Pro Tech Ltd.,HEALTH CARE,"243,788",NaN,"$1,023,000",0.0
4667,RGCO,RGC Resources Inc.,UTILITIES AND TELECOMMUNICATIONS,"47,158",NaN,"$1,020,000",0.0
4668,NH,NantHealth Inc.,INFORMATION TECHNOLOGY,"1,351,156",NaN,"$1,019,000",0.0
4669,SFT,NaN,FINANCE,"1,510,301",NaN,"$1,016,433",0.0
4670,BMTX,NaN,FINANCE,"118,646",NaN,"$1,013,000",0.0
4671,DGLY,Digital Ally Inc.,INFORMATION TECHNOLOGY,"928,655",NaN,"$1,012,000",0.0
4672,KRMD,NaN,HEALTH CARE,"350,441",NaN,"$1,002,000",0.0
4673,DLHC,DLH Holdings Corp.,INDUSTRIALS,"52,770",NaN,"$1,000,000",0.0
4674,CSBR,Champions Oncology Inc.,HEALTH CARE,"122,798",NaN,"$999,000",0.0
4675,GIFI,Gulf Island Fabrication Inc.,ENERGY,"254,032",NaN,"$996,000",0.0
4676,LRMR,NaN,HEALTH CARE,"245,856",NaN,"$996,000",0.0
4677,OPTT,Ocean Power Technologies Inc.,INDUSTRIALS,"704,830",NaN,"$994,000",0.0
4678,GLYC,GlycoMimetics Inc.,HEALTH CARE,"868,237",NaN,"$990,000",0.0
4679,CORR,CorEnergy Infrastructure Trust Inc.,FINANCE,"319,856",NaN,"$983,000",0.0
4680,AQST,Aquestive Therapeutics Inc.,HEALTH CARE,"376,517",NaN,"$983,000",0.0
4681,SYBX,Synlogic Inc.,HEALTH CARE,"408,149",NaN,"$980,000",0.0
4682,IVC,Invacare Corporation,HEALTH CARE,"763,809",NaN,"$977,676",0.0
4683,MBOT,Microbot Medical Inc.,HEALTH CARE,"154,933",NaN,"$971,000",0.0
4684,TREC,Trecora Resources,MATERIALS,"114,662",NaN,"$970,000",0.0
4685,HALL,Hallmark Financial Services Inc.,FINANCE,"265,725",NaN,"$964,000",0.0
4686,CASI,CASI Pharmaceuticals Inc.,HEALTH CARE,"119,038.3",NaN,"$964,000",0.0
4687,OESX,Orion Energy Systems Inc.,INDUSTRIALS,"343,851",NaN,"$962,000",0.0
4688,ARCO,Arcos Dorados Holdings Inc. Class A Shares,CONSUMER DISCRETIONARY,"118,312",NaN,"$962,000",0.0
4689,FPAC/WS,NaN,,"590,000",NaN,"$962,000",0.0
4690,BDSX,NaN,HEALTH CARE,"569,597",NaN,"$962,000",0.0
4691,DXYN,The Dixie Group Inc.,CONSUMER DISCRETIONARY,"310,130",NaN,"$961,000",0.0
4692,ATNF,NaN,FINANCE,"368,315",NaN,"$954,000",0.0
4693,CLST,NaN,FINANCE,"69,882",NaN,"$954,000",0.0
4694,SALM,Salem Media Group Inc.,COMMUNICATIONS,"281,046",NaN,"$952,000",0.0
4695,JAKK,JAKKS Pacific Inc.,CONSUMER DISCRETIONARY,"67,759",NaN,"$950,000",0.0
4696,WWR,Westwater Resources Inc.,MATERIALS,"475,249",NaN,"$950,000",0.0
4697,MYMD,NaN,HEALTH CARE,"203,521",NaN,"$948,000",0.0
4698,HMNF,HMN Financial Inc.,FINANCE,"38,228",NaN,"$947,000",0.0
4699,NINE,Nine Energy Service Inc.,ENERGY,"253,372",NaN,"$947,000",0.0
4700,IBTJ,NaN,FINANCE,"40,000",NaN,"$946,000",0.0
4701,SIEN,Sientra Inc.,HEALTH CARE,"1,125,874",NaN,"$943,482",0.0
4702,LEVL,Level One Bancorp Inc.,FINANCE,"23,513",NaN,"$938,000",0.0
4703,RPHM,NaN,HEALTH CARE,"317,027",NaN,"$932,000",0.0
4704,MYFW,First Western Financial Inc.,FINANCE,"29,533",NaN,"$924,000",0.0
4705,MOR,MorphoSys AG,HEALTH CARE,"136,186",NaN,"$923,000",0.0
4706,NLS,Nautilus Inc.,CONSUMER DISCRETIONARY,"522,992",NaN,"$915,236",0.0
4707,DEBT-ESPE(PRN),NaN,,"1,800,000",NaN,"$910,000",0.0
4708,TZOO,Travelzoo,COMMUNICATIONS,"138,712",NaN,"$909,000",0.0
4709,ESSA,ESSA Bancorp Inc.,FINANCE,"50,430",NaN,"$905,000",0.0
4710,BAM,Brookfield Asset Management Inc.,REAL ESTATE,"15,967",NaN,"$903,000",0.0
4711,RDHL,Redhill Biopharma Ltd.,HEALTH CARE,"357,493",NaN,"$901,000",0.0
4712,IPWR,Ideal Power Inc.,INDUSTRIALS,"102,232",NaN,"$900,000",0.0
4713,PHAS,PhaseBio Pharmaceuticals Inc.,HEALTH CARE,"681,491",NaN,"$899,000",0.0
4714,DARE,Dare Bioscience Inc.,HEALTH CARE,"602,036",NaN,"$897,000",0.0
4715,BTCM,NaN,CONSUMER DISCRETIONARY,"320,055",NaN,"$894,000",0.0
4716,TRIN,NaN,,"46,176",NaN,"$891,000",0.0
4717,BMED,NaN,FINANCE,"35,000",NaN,"$888,000",0.0
4718,SCHA,Schwab U.S. Small-Cap,FINANCE,"18,704",NaN,"$886,000",0.0
4719,ISR,IsoRay Inc. (DE),HEALTH CARE,"2,439,218",NaN,"$885,000",0.0
4720,TCN,NaN,REAL ESTATE,"55,700",NaN,"$885,000",0.0
4721,SGTX,NaN,HEALTH CARE,"1,066,102",NaN,"$884,865",0.0
4722,NWFL,Norwood Financial Corp.,FINANCE,"30,826",NaN,"$882,000",0.0
4723,PW,Power REIT (MD),REAL ESTATE,"22,413",NaN,"$882,000",0.0
4724,MNSO,NaN,CONSUMER DISCRETIONARY,"112,838",NaN,"$881,000",0.0
4725,NMTR,NaN,INFORMATION TECHNOLOGY,"3,370,808",NaN,"$879,781",0.0
4726,HXB2:FWB2,NaN,,"828,543",NaN,"$878,000",0.0
4727,NHTC,Natural Health Trends Corp.,HEALTH CARE,"123,444",NaN,"$874,000",0.0
4728,BAFN,NaN,,"37,775",NaN,"$871,000",0.0
4729,TSLX,TPG Specialty Lending Inc.,FINANCE,"37,232",NaN,"$867,000",0.0
4730,BWFG,Bankwell Financial Group Inc.,FINANCE,"25,577",NaN,"$865,000",0.0
4731,ATNX,Athenex Inc.,HEALTH CARE,"2,106,763",NaN,"$861,666",0.0
4732,CLVR,NaN,HEALTH CARE,"344,468",NaN,"$857,000",0.0
4733,PRPO,Precipio Inc.,HEALTH CARE,"631,062",NaN,"$852,000",0.0
4734,CIFR,NaN,FINANCE,"233,677",NaN,"$850,000",0.0
4735,IJJ,iShares S&P Mid-Cap 400 Value,FINANCE,"7,667",NaN,"$840,000",0.0
4736,MREO,NaN,HEALTH CARE,"749,601",NaN,"$840,000",0.0
4737,CMPO,NaN,FINANCE,"110,049",NaN,"$835,000",0.0
4738,ITM,VanEck Vectors AMT-Free Intermediate Municipal Index,FINANCE,"17,598",NaN,"$833,000",0.0
4739,BGRY,NaN,INDUSTRIALS,"288,375",NaN,"$832,000",0.0
4740,CPSH,CPS Technologies Corp.,INFORMATION TECHNOLOGY,"158,051",NaN,"$823,000",0.0
4741,BMRA,Biomerica Inc.,HEALTH CARE,"183,925",NaN,"$821,000",0.0
4742,CRVS,Corvus Pharmaceuticals Inc.,HEALTH CARE,"499,474",NaN,"$819,000",0.0
4743,MFIN,Medallion Financial Corp.,FINANCE,"96,100",NaN,"$817,000",0.0
4744,ULBI,Ultralife Corporation,INDUSTRIALS,"152,119",NaN,"$817,000",0.0
4745,ML,NaN,FINANCE,"325,479",NaN,"$817,000",0.0
4746,EML,Eastern Company (The),INDUSTRIALS,"34,982",NaN,"$815,000",0.0
4747,IGC,NaN,INDUSTRIALS,"858,786",NaN,"$815,000",0.0
4748,DALN,NaN,COMMUNICATIONS,"116,410",NaN,"$815,000",0.0
4749,PANL,Pangaea Logistics Solutions Ltd.,TRANSPORTS,"146,281",NaN,"$814,000",0.0
4750,PDEX,Pro-Dex Inc.,HEALTH CARE,"49,062",NaN,"$812,000",0.0
4751,IYF,iShares U.S. Financial,FINANCE,"9,593",NaN,"$811,000",0.0
4752,QNGY,NaN,FINANCE,"439,492",NaN,"$809,000",0.0
4753,VLTA.WS,NaN,,"849,569",NaN,"$807,000",0.0
4754,WEAV,NaN,INFORMATION TECHNOLOGY,"135,395",NaN,"$807,000",0.0
4755,RAAS,NaN,INFORMATION TECHNOLOGY,"466,810",NaN,"$803,000",0.0
4756,CANG,Cango Inc. American Depositary Shares each representing two (2) Class A,INFORMATION TECHNOLOGY,"308,497",NaN,"$800,000",0.0
4757,AMPE,Ampio Pharmaceuticals Inc.,HEALTH CARE,"4,699,074",NaN,"$798,843",0.0
4758,SLNH,NaN,INFORMATION TECHNOLOGY,"72,232",NaN,"$795,000",0.0
4759,CHMG,Chemung Financial Corp,FINANCE,"16,873",NaN,"$788,000",0.0
4760,PLBC,Plumas Bancorp,FINANCE,"20,702",NaN,"$788,000",0.0
4761,TCON,TRACON Pharmaceuticals Inc.,HEALTH CARE,"299,621",NaN,"$788,000",0.0
4762,FPH,Five Point Holdings LLC Class A,REAL ESTATE,"128,360",NaN,"$784,000",0.0
4763,ACHL,NaN,HEALTH CARE,"266,657",NaN,"$784,000",0.0
4764,BWEN,Broadwind Energy Inc.,INDUSTRIALS,"360,183",NaN,"$782,000",0.0
4765,OXYWS.WI,NaN,,"22,202",NaN,"$781,000",0.0
4766,KINS,Kingstone Companies Inc,FINANCE,"145,958",NaN,"$777,000",0.0
4767,CALA,Calithera Biosciences Inc.,HEALTH CARE,"96,299.65",NaN,"$777,000",0.0
4768,IMBI,NaN,CONSUMER DISCRETIONARY,"128,454",NaN,"$775,000",0.0
4769,SGMA,SigmaTron International Inc.,INFORMATION TECHNOLOGY,"113,089",NaN,"$772,000",0.0
4770,VISL,NaN,INFORMATION TECHNOLOGY,"724,060",NaN,"$768,000",0.0
4771,LABP,NaN,HEALTH CARE,"520,308",NaN,"$767,000",0.0
4772,YCBD,NaN,,"737,154",NaN,"$766,000",0.0
4773,GRTX,NaN,HEALTH CARE,"321,292",NaN,"$765,000",0.0
4774,AXLA,NaN,HEALTH CARE,"296,015",NaN,"$761,000",0.0
4775,VWOB,NaN,FINANCE,"10,845",NaN,"$758,000",0.0
4776,COFS,NaN,FINANCE,"30,216",NaN,"$757,000",0.0
4777,OPNT,Opiant Pharmaceuticals Inc.,HEALTH CARE,"35,323",NaN,"$756,000",0.0
4778,DYAI,NaN,HEALTH CARE,"250,689",NaN,"$754,000",0.0
4779,UNTY,Unity Bancorp Inc.,FINANCE,"26,954",NaN,"$753,000",0.0
4780,ALR,NaN,HEALTH CARE,"349,926",NaN,"$752,000",0.0
4781,HBM,Hudbay Minerals Inc. (Canada),MATERIALS,"95,254",NaN,"$748,000",0.0
4782,CFFI,C&F Financial Corporation,FINANCE,"14,777",NaN,"$746,000",0.0
4783,FATH,NaN,FINANCE,"120,335",NaN,"$744,000",0.0
4784,DEBT-AURO(PRN),NaN,,"800,000",NaN,"$733,000",0.0
4785,AMPS.WS,NaN,,"451,498",NaN,"$731,000",0.0
4786,QUIK,QuickLogic Corporation,INFORMATION TECHNOLOGY,"132,450",NaN,"$729,000",0.0
4787,AVCT,NaN,FINANCE,"779,266",NaN,"$729,000",0.0
4788,STLG,NaN,FINANCE,"25,010",NaN,"$728,016",0.0
4789,TYME,Tyme Technologies Inc.,HEALTH CARE,"2,075,666",NaN,"$726,000",0.0
4790,CLBS,Caladrius Biosciences Inc.,FINANCE,"1,001,879",NaN,"$723,000",0.0
4791,LMPX,NaN,CONSUMER DISCRETIONARY,"143,483",NaN,"$717,000",0.0
4792,UG,United-Guardian Inc.,CONSUMER STAPLES,"31,464",NaN,"$716,000",0.0
4793,GSL,Global Ship Lease Inc New Class A,TRANSPORTS,"25,081",NaN,"$715,000",0.0
4794,FTEK,Fuel Tech Inc.,INDUSTRIALS,"491,014",NaN,"$712,000",0.0
4795,WTRH,Waitr Holdings Inc.,FINANCE,"1,923,746",NaN,"$712,000",0.0
4796,IWS,iShares Russell Mid-cap Value,FINANCE,"5,942",NaN,"$711,000",0.0
4797,AFI,Armstrong Flooring Inc.,CONSUMER DISCRETIONARY,"496,954",NaN,"$711,000",0.0
4798,SERA,NaN,HEALTH CARE,"186,140",NaN,"$707,000",0.0
4799,RCAT,NaN,INFORMATION TECHNOLOGY,"348,413",NaN,"$704,000",0.0
4800,CYBN,NaN,,"861,796",NaN,"$704,000",0.0
4801,ATHX,Athersys Inc.,HEALTH CARE,"2,697,602",NaN,"$701,377",0.0
4802,AMRN,Amarin Corporation plc,HEALTH CARE,"212,216",NaN,"$698,000",0.0
4803,LDI,NaN,FINANCE,"168,161",NaN,"$698,000",0.0
4804,INTZ,NaN,INFORMATION TECHNOLOGY,"280,188",NaN,"$696,000",0.0
4805,AYRO,NaN,INFORMATION TECHNOLOGY,"537,421",NaN,"$687,000",0.0
4806,NTP,Nam Tai Property Inc.,INFORMATION TECHNOLOGY,"109,859",NaN,"$687,000",0.0
4807,SCTL,NaN,HEALTH CARE,"380,829",NaN,"$685,000",0.0
4808,RELI,NaN,,"157,459",NaN,"$679,000",0.0
4809,CADL,NaN,HEALTH CARE,"132,322",NaN,"$674,000",0.0
4810,CMT,Core Molding Technologies Inc,MATERIALS,"62,557",NaN,"$673,000",0.0
4811,FORD,Forward Industries Inc.,CONSUMER DISCRETIONARY,"390,686",NaN,"$672,000",0.0
4812,COGI,NaN,,"102,301",NaN,"$672,000",0.0
4813,FNCB,FNCB Bancorp Inc.,FINANCE,"70,879",NaN,"$671,000",0.0
4814,SPIR,NaN,FINANCE,"316,265",NaN,"$664,000",0.0
4815,EDR,NaN,COMMUNICATIONS,"22,423",NaN,"$663,000",0.0
4816,CHKEL,NaN,,"11,813",NaN,"$657,000",0.0
4817,AESE,NaN,FINANCE,"378,181",NaN,"$653,000",0.0
4818,VYNE,NaN,,"1,002,594",NaN,"$652,000",0.0
4819,YSG,NaN,CONSUMER DISCRETIONARY,"949,118",NaN,"$651,000",0.0
4820,DSI,iShares MSCI KLD 400 Social,FINANCE,"7,500",NaN,"$650,000",0.0
4821,LTCHW,NaN,FINANCE,"986,255",NaN,"$650,000",0.0
4822,ASRV,AmeriServ Financial Inc.,FINANCE,"160,227",NaN,"$648,000",0.0
4823,STRM,Streamline Health Solutions Inc.,INFORMATION TECHNOLOGY,"405,000",NaN,"$647,000",0.0
4824,GNLN,NaN,CONSUMER DISCRETIONARY,"1,154,079",NaN,"$646,000",0.0
4825,EAOA,NaN,FINANCE,"20,000",NaN,"$646,000",0.0
4826,IEME,NaN,FINANCE,"20,000",NaN,"$643,000",0.0
4827,OBSV,ObsEva SA,HEALTH CARE,"425,977",NaN,"$643,000",0.0
4828,QAT,NaN,FINANCE,"26,634",NaN,"$640,000",0.0
4829,CALB,NaN,FINANCE,"27,718",NaN,"$638,000",0.0
4830,UBX,Unity Biotechnology Inc.,HEALTH CARE,"570,347",NaN,"$638,000",0.0
4831,MBCN,Middlefield Banc Corp.,FINANCE,"25,646",NaN,"$636,000",0.0
4832,HWBK,Hawthorn Bancshares Inc.,FINANCE,"26,105.04",NaN,"$634,000",0.0
4833,ACRX,AcelRx Pharmaceuticals Inc.,HEALTH CARE,"2,218,010",NaN,"$633,000",0.0
4834,RWAY,NaN,FINANCE,"46,488",NaN,"$632,000",0.0
4835,ONVO,Organovo Holdings Inc.,HEALTH CARE,"167,132",NaN,"$629,000",0.0
4836,GEG,NaN,INFORMATION TECHNOLOGY,"347,495",NaN,"$628,000",0.0
4837,HAACW,NaN,,"1,232,988",NaN,"$628,000",0.0
4838,SEAC,SeaChange International Inc.,INFORMATION TECHNOLOGY,"550,745",NaN,"$622,000",0.0
4839,INUV,Inuvo Inc.,COMMUNICATIONS,"1,269,306",NaN,"$622,000",0.0
4840,ABIO,ARCA biopharma Inc.,HEALTH CARE,"269,877",NaN,"$620,000",0.0
4841,SLGG,NaN,COMMUNICATIONS,"327,969",NaN,"$616,000",0.0
4842,COCP,Cocrystal Pharma Inc.,HEALTH CARE,"1,111,008",NaN,"$611,000",0.0
4843,PMD,Psychemedics Corporation,HEALTH CARE,"88,416",NaN,"$609,000",0.0
4844,DOLE,NaN,CONSUMER STAPLES,"49,024",NaN,"$608,000",0.0
4845,OVLY,Oak Valley Bancorp (CA),FINANCE,"32,967",NaN,"$607,000",0.0
4846,JSPR,NaN,FINANCE,"169,569",NaN,"$603,000",0.0
4847,BSGM,BioSig Technologies Inc.,HEALTH CARE,"523,654",NaN,"$601,000",0.0
4848,SBFG,SB Financial Group Inc.,FINANCE,"30,092",NaN,"$599,000",0.0
4849,NVGS,Navigator Holdings Ltd. (Marshall Islands),INDUSTRIALS,"48,911",NaN,"$597,000",0.0
4850,AYTU,Aytu BioScience Inc.,CONSUMER DISCRETIONARY,"545,907",NaN,"$589,000",0.0
4851,SEAT,NaN,CONSUMER DISCRETIONARY,"53,134",NaN,"$588,000",0.0
4852,TIXT,NaN,INFORMATION TECHNOLOGY,"23,362",NaN,"$577,000",0.0
4853,AIKI,NaN,INDUSTRIALS,"1,279,435",NaN,"$576,000",0.0
4854,MNSB,NaN,FINANCE,"23,553",NaN,"$573,000",0.0
4855,HYMC,NaN,FINANCE,"249,255",NaN,"$573,000",0.0
4856,KOSS,Koss Corporation,CONSUMER DISCRETIONARY,"62,194",NaN,"$570,000",0.0
4857,OVBC,Ohio Valley Banc Corp.,FINANCE,"18,914",NaN,"$567,000",0.0
4858,LUMO,NaN,HEALTH CARE,"59,460",NaN,"$559,000",0.0
4859,MKTW,NaN,INFORMATION TECHNOLOGY,"118,124",NaN,"$558,000",0.0
4860,CMCL,Caledonia Mining Corporation Plc,MATERIALS,"36,076",NaN,"$549,000",0.0
4861,TMP010C11,NaN,,"765,750",NaN,"$543,000",0.0
4862,TNXP,Tonix Pharmaceuticals Holding Corp.,HEALTH CARE,"341,746",NaN,"$539,959",0.0
4863,LPTH,LightPath Technologies Inc.,INFORMATION TECHNOLOGY,"273,858",NaN,"$539,000",0.0
4864,QUBT,NaN,,"207,499",NaN,"$539,000",0.0
4865,SYN,Synthetic Biologics Inc.,,"1,885,693",NaN,"$538,000",0.0
4866,ABEO,Abeona Therapeutics Inc.,HEALTH CARE,"67,784.96",NaN,"$534,000",0.0
4867,ORTX,Orchard Therapeutics plc,HEALTH CARE,"749,990",NaN,"$534,000",0.0
4868,BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,FINANCE,"101,652",NaN,"$533,000",0.0
4869,MNTX,Manitex International Inc.,INDUSTRIALS,"73,026",NaN,"$532,000",0.0
4870,HNRG,Hallador Energy Company,ENERGY,"151,049",NaN,"$528,000",0.0
4871,GENC,Gencor Industries Inc.,INDUSTRIALS,"51,142",NaN,"$526,000",0.0
4872,ASTC,Astrotech Corporation,INDUSTRIALS,"727,503",NaN,"$525,000",0.0
4873,EPIX,ESSA Pharma Inc.,HEALTH CARE,"85,069",NaN,"$525,000",0.0
4874,RMBI,NaN,FINANCE,"30,768",NaN,"$525,000",0.0
4875,PDS,Precision Drilling Corporation,ENERGY,"7,081",NaN,"$523,000",0.0
4876,MDVL,NaN,HEALTH CARE,"537,738",NaN,"$523,000",0.0
4877,OBT,NaN,FINANCE,"13,048",NaN,"$522,000",0.0
4878,PFIE,Profire Energy Inc.,INDUSTRIALS,"399,571",NaN,"$520,000",0.0
4879,LCI,Lannett Co Inc,HEALTH CARE,"658,336",NaN,"$519,000",0.0
4880,ARL,American Realty Investors Inc.,REAL ESTATE,"33,707",NaN,"$518,000",0.0
4881,EVOL,Evolving Systems Inc.,INFORMATION TECHNOLOGY,"282,937",NaN,"$515,000",0.0
4882,PMTS,CPI Card Group Inc.,CONSUMER DISCRETIONARY,"35,275",NaN,"$512,000",0.0
4883,SPRO,Spero Therapeutics Inc.,HEALTH CARE,"690,763",NaN,"$511,855",0.0
4884,VTSI,VirTra Inc.,INDUSTRIALS,"83,562",NaN,"$510,000",0.0
4885,STSA,NaN,HEALTH CARE,"134,131",NaN,"$509,000",0.0
4886,SOPA,NaN,INDUSTRIALS,"171,163",NaN,"$509,000",0.0
4887,KIRK,Kirkland's Inc.,CONSUMER DISCRETIONARY,"143,237",NaN,"$504,194",0.0
4888,NXTP,NaN,CONSUMER DISCRETIONARY,"912,274",NaN,"$501,000",0.0
4889,BSQR,BSQUARE Corporation,INFORMATION TECHNOLOGY,"285,623",NaN,"$493,000",0.0
4890,ALPP,NaN,,"468,336",NaN,"$492,000",0.0
4891,SPTM,SPDR Portfolio Total Stock Market,FINANCE,"8,846",NaN,"$491,000",0.0
4892,FCUV,NaN,,"36,585",NaN,"$490,000",0.0
4893,CYCN,NaN,HEALTH CARE,"441,380",NaN,"$490,000",0.0
4894,UBFO,United Security Bancshares,FINANCE,"58,922",NaN,"$489,000",0.0
4895,CLRB,Cellectar Biosciences Inc.,CONSUMER DISCRETIONARY,"712,679",NaN,"$489,000",0.0
4896,TUSK,Mammoth Energy Services Inc.,ENERGY,"229,198",NaN,"$488,000",0.0
4897,NEON,Neonode Inc.,INFORMATION TECHNOLOGY,"79,853",NaN,"$485,000",0.0
4898,LFT,NaN,REAL ESTATE,"175,618",NaN,"$481,000",0.0
4899,DAC,Danaos Corporation,TRANSPORTS,"4,668",NaN,"$479,000",0.0
4900,HEZU,NaN,FINANCE,"13,983",NaN,"$479,000",0.0
4901,PRQR,ProQR Therapeutics N.V.,HEALTH CARE,"527,396",NaN,"$477,000",0.0
4902,SRGA,NaN,HEALTH CARE,"52,035.18",NaN,"$476,000",0.0
4903,XFOR,NaN,,"271,794",NaN,"$476,000",0.0
4904,KLXE,KLX Energy Services Holdings Inc.,ENERGY,"91,521",NaN,"$473,000",0.0
4905,MOL1:FWB2,NaN,,"265,315",NaN,"$472,000",0.0
4906,QUMU,Qumu Corporation,INFORMATION TECHNOLOGY,"267,745",NaN,"$471,000",0.0
4907,COHN,Cohen & Company Inc.,REAL ESTATE,"29,150",NaN,"$471,000",0.0
4908,FLUX,NaN,INDUSTRIALS,"176,438",NaN,"$471,000",0.0
4909,ZDGE,Zedge Inc. Class B,INFORMATION TECHNOLOGY,"77,103",NaN,"$469,000",0.0
4910,RDI,Reading International Inc,CONSUMER DISCRETIONARY,"109,200",NaN,"$467,000",0.0
4911,YI,111 Inc.,HEALTH CARE,"174,941",NaN,"$466,000",0.0
4912,NBEV,New Age Beverages Corporation,CONSUMER STAPLES,"2,080,022",NaN,"$465,925",0.0
4913,TPHS,Trinity Place Holdings Inc.,CONSUMER DISCRETIONARY,"243,989",NaN,"$464,000",0.0
4914,VABK,NaN,FINANCE,"13,454",NaN,"$463,000",0.0
4915,BIOC,Biocept Inc.,HEALTH CARE,"199,476",NaN,"$463,000",0.0
4916,BSVN,Bank7 Corp.,FINANCE,"19,683",NaN,"$463,000",0.0
4917,ZSANQ,NaN,HEALTH CARE,"58,661.69",NaN,"$462,000",0.0
4918,ONTX,Onconova Therapeutics Inc.,HEALTH CARE,"248,881",NaN,"$458,000",0.0
4919,AINC,Ashford Inc. (Holding Company),FINANCE,"26,637",NaN,"$456,000",0.0
4920,AUTO,AutoWeb Inc.,INFORMATION TECHNOLOGY,"196,893",NaN,"$455,000",0.0
4921,ADIL,Adial Pharmaceuticals Inc,HEALTH CARE,"225,477",NaN,"$454,000",0.0
4922,RMTI,Rockwell Medical Inc.,HEALTH CARE,"87,339.36",NaN,"$453,000",0.0
4923,OGEN,Oragenics Inc.,HEALTH CARE,"1,315,396",NaN,"$453,000",0.0
4924,MLVF,Malvern Bancorp Inc.,FINANCE,"27,816",NaN,"$449,000",0.0
4925,ORGSD,NaN,,"127,722",NaN,"$444,000",0.0
4926,PBIP,Prudential Bancorp Inc.,FINANCE,"26,936",NaN,"$443,000",0.0
4927,ASPU,Aspen Group Inc.,INDUSTRIALS,"272,554",NaN,"$442,000",0.0
4928,VNCE,Vince Holding Corp.,CONSUMER DISCRETIONARY,"53,852",NaN,"$438,000",0.0
4929,GCBC,Greene County Bancorp Inc.,FINANCE,"9,755",NaN,"$437,000",0.0
4930,FNHC,FedNat Holding Company,FINANCE,"323,137",NaN,"$437,000",0.0
4931,GIIXW,NaN,,"340,481",NaN,"$435,000",0.0
4932,CWBC,Community West Bancshares,FINANCE,"30,796",NaN,"$431,000",0.0
4933,CEA,China Eastern Airlines Corporation Ltd.,TRANSPORTS,"25,287",NaN,"$429,000",0.0
4934,CLIR,ClearSign Combustion Corporation,INDUSTRIALS,"262,285",NaN,"$428,000",0.0
4935,APRE,NaN,HEALTH CARE,"230,165",NaN,"$428,000",0.0
4936,NCSM,NCS Multistage Holdings Inc.,ENERGY,"8,410",NaN,"$427,000",0.0
4937,WMPN,NaN,FINANCE,"33,421",NaN,"$426,000",0.0
4938,PULM,Pulmatrix Inc.,HEALTH CARE,"62,150",NaN,"$424,000",0.0
4939,NYF,iShares New York Muni Bond,FINANCE,"7,741",NaN,"$422,000",0.0
4940,IS,NaN,FINANCE,"87,941",NaN,"$422,000",0.0
4941,BFI,NaN,FINANCE,"100,832",NaN,"$420,000",0.0
4942,SRAX,Social Reality Inc.,COMMUNICATIONS,"86,176",NaN,"$417,000",0.0
4943,NERV,Minerva Neurosciences Inc,HEALTH CARE,"62,734.5",NaN,"$417,000",0.0
4944,SDG,NaN,FINANCE,"4,883",NaN,"$417,000",0.0
4945,RYH,Invesco S&P 500 Equal Weight Health Care,HEALTH CARE,"1,350",NaN,"$414,000",0.0
4946,TENX,Tenax Therapeutics Inc.,INDUSTRIALS,"510,718",NaN,"$413,000",0.0
4947,PCYG,Park City Group Inc.,INFORMATION TECHNOLOGY,"78,050",NaN,"$412,000",0.0
4948,TTSH,NaN,CONSUMER DISCRETIONARY,"62,914",NaN,"$412,000",0.0
4949,DFFN,Diffusion Pharmaceuticals Inc.,COMMUNICATIONS,"32,854.08",NaN,"$411,000",0.0
4950,RNWK,RealNetworks Inc.,INFORMATION TECHNOLOGY,"708,124",NaN,"$410,000",0.0
4951,RCMT,RCM Technologies Inc.,INDUSTRIALS,"41,576",NaN,"$410,000",0.0
4952,LODE,Comstock Mining Inc.,MATERIALS,"244,678",NaN,"$409,000",0.0
4953,EMBKW,NaN,,"358,433",NaN,"$409,000",0.0
4954,MRIN,Marin Software Incorporated,COMMUNICATIONS,"141,847",NaN,"$408,000",0.0
4955,SEVN,NaN,REAL ESTATE,"36,347",NaN,"$405,000",0.0
4956,GHG,GreenTree Hospitality Group Ltd. American depositary shares each representing one Class A,CONSUMER DISCRETIONARY,"80,174",NaN,"$403,000",0.0
4957,DMS,NaN,FINANCE,"110,417",NaN,"$402,000",0.0
4958,QTNT,Quotient Limited,HEALTH CARE,"1,674,065",NaN,"$401,776",0.0
4959,FRAF,NaN,FINANCE,"11,841",NaN,"$397,000",0.0
4960,NNVC,NanoViricides Inc.,HEALTH CARE,"189,496",NaN,"$397,000",0.0
4961,ELMD,Electromed Inc.,HEALTH CARE,"31,927",NaN,"$397,000",0.0
4962,BWMN,NaN,INDUSTRIALS,"24,007",NaN,"$395,000",0.0
4963,CPIX,Cumberland Pharmaceuticals Inc.,HEALTH CARE,"138,902",NaN,"$392,000",0.0
4964,KORE,NaN,FINANCE,"65,390",NaN,"$392,000",0.0
4965,ISUN,NaN,FINANCE,"95,351",NaN,"$391,000",0.0
4966,OPFI,NaN,FINANCE,"113,575",NaN,"$390,000",0.0
4967,PATI,Patriot Transportation Holding Inc.,TRANSPORTS,"48,610",NaN,"$388,000",0.0
4968,PEBK,Peoples Bancorp of North Carolina Inc.,FINANCE,"13,487",NaN,"$387,000",0.0
4969,AGFS,AgroFresh Solutions Inc.,MATERIALS,"202,647",NaN,"$386,000",0.0
4970,HIL,Hill International Inc.,INDUSTRIALS,"234,634",NaN,"$383,000",0.0
4971,ISPC,NaN,,"71,175",NaN,"$382,000",0.0
